dt,temp,humidity,dew_point,feels_like,rain_1h,sea_level,grnd_level,clouds_all,evapotranspiration,vapour_pressure_deficit (kPa),wind_speed,wind_direction,wind_gusts,soil_temperature,soil_moisture,is_day,sunshine_duration (s),direct_radiation_instant,direct_normal_irradiance_instant,weather_description
1630454400,17.8,90,16.0,19.5,0.0,1014.6,991.9,25,0.0,0.21,0.73,196,2.5,21.5,0.097,0,0.0,0.0,0.0,few clouds
1630458000,17.3,92,16.0,19.0,0.0,1014.4,991.7,28,0.0,0.16,0.91,186,2.0,20.9,0.097,0,0.0,0.0,0.0,scattered clouds
1630461600,17.1,93,15.9,18.5,0.0,1014.4,991.7,30,0.0,0.14,1.3,122,2.4,20.3,0.097,0,0.0,0.0,0.0,scattered clouds
1630465200,17.1,93,16.0,18.4,4.0,1014.9,992.2,37,0.0,0.13,1.5,86,4.8,19.7,0.148,0,0.0,0.0,0.0,moderate rain
1630468800,17.5,93,16.4,19.1,0.4,1014.0,991.3,61,0.0,0.14,1.3,328,3.9,19.4,0.154,0,0.0,0.0,0.0,light rain
1630472400,17.5,94,16.5,19.1,0.0,1013.8,991.1,39,0.0,0.12,1.33,13,3.5,19.2,0.154,0,0.0,0.0,0.0,scattered clouds
1630476000,17.5,92,16.2,19.2,0.0,1014.0,991.3,40,0.0,0.15,0.81,150,2.8,18.8,0.154,0,0.0,0.0,0.0,scattered clouds
1630479600,18.8,86,16.5,20.1,0.0,1014.1,991.5,21,0.03,0.3,1.91,96,3.7,18.9,0.154,1,189.73,19.6,109.5,few clouds
1630483200,20.8,79,17.0,22.6,0.0,1014.4,991.9,26,0.1,0.51,1.39,339,4.3,19.7,0.154,1,3600.0,93.7,255.9,scattered clouds
1630486800,22.1,74,17.2,24.5,0.1,1015.0,992.6,38,0.2,0.7,0.41,256,4.2,21.2,0.155,1,3600.0,201.0,375.5,light rain
1630490400,23.0,69,16.9,24.8,0.0,1015.1,992.8,39,0.25,0.89,1.26,288,4.2,22.5,0.154,1,3600.0,226.3,335.9,scattered clouds
1630494000,24.1,64,17.0,26.2,0.0,1015.4,993.2,49,0.37,1.07,0.73,286,5.1,24.2,0.154,1,3600.0,364.7,471.8,scattered clouds
1630497600,24.0,62,16.3,25.6,0.0,1014.8,992.6,45,0.45,1.14,2.69,135,4.2,21.3,0.182,1,3600.0,458.5,555.1,scattered clouds
1630501200,25.8,56,16.5,29.0,0.0,1014.1,992.0,29,0.53,1.44,1.08,158,6.7,23.9,0.18,1,3600.0,570.1,687.9,scattered clouds
1630504800,24.9,61,16.8,27.3,1.5,1014.6,992.4,100,0.48,1.23,2.04,259,6.1,25.8,0.196,1,3600.0,487.8,624.0,light rain
1630508400,22.5,76,18.0,24.6,2.7,1015.2,992.9,69,0.31,0.66,1.73,280,6.6,25.4,0.228,1,3600.0,223.5,325.1,moderate rain
1630512000,21.2,82,17.9,22.9,0.1,1015.5,993.1,76,0.16,0.46,2.21,275,6.4,24.4,0.228,1,222.5,37.3,67.4,light rain
1630515600,21.2,82,18.0,23.7,0.0,1015.4,993.0,44,0.13,0.45,0.98,336,5.2,24.0,0.227,1,1062.04,36.9,95.4,scattered clouds
1630519200,21.2,82,18.0,23.7,0.0,1015.2,992.8,30,0.08,0.45,0.85,315,3.2,23.4,0.227,1,1153.94,19.7,98.5,scattered clouds
1630522800,19.8,91,18.3,22.2,0.0,1015.2,992.7,39,0.02,0.2,1.2,265,2.4,22.7,0.227,1,551.95,0.8,9.0,scattered clouds
1630526400,19.3,92,18.0,21.4,0.0,1015.6,993.0,33,0.0,0.17,1.5,233,2.9,21.8,0.226,0,0.0,0.0,0.0,scattered clouds
1630530000,18.2,96,17.6,20.3,0.0,1016.1,993.4,36,0.0,0.08,1.22,235,3.0,21.1,0.226,0,0.0,0.0,0.0,scattered clouds
1630533600,17.5,98,17.2,19.6,0.0,1016.3,993.6,45,0.0,0.04,0.92,229,2.6,20.5,0.226,0,0.0,0.0,0.0,scattered clouds
1630537200,17.2,99,17.0,19.4,0.0,1016.5,993.7,53,0.0,0.02,0.67,243,2.0,20.1,0.226,0,0.0,0.0,0.0,broken clouds
1630540800,17.5,97,17.0,19.7,0.0,1017.4,994.6,75,0.0,0.07,0.63,252,2.9,19.4,0.187,0,0.0,0.0,0.0,broken clouds
1630544400,17.2,97,16.8,19.3,0.0,1017.0,994.2,78,0.0,0.06,0.71,225,1.8,19.2,0.187,0,0.0,0.0,0.0,broken clouds
1630548000,17.0,97,16.6,18.8,0.0,1016.7,993.9,39,0.0,0.05,0.92,131,1.8,19.0,0.187,0,0.0,0.0,0.0,scattered clouds
1630551600,16.5,99,16.3,18.3,0.0,1016.7,993.9,53,0.0,0.02,0.76,113,2.1,18.8,0.187,0,0.0,0.0,0.0,broken clouds
1630555200,16.4,99,16.2,18.2,0.0,1016.5,993.7,56,0.0,0.02,0.71,172,1.4,18.6,0.187,0,0.0,0.0,0.0,broken clouds
1630558800,16.6,99,16.4,18.6,0.0,1016.7,993.9,72,0.0,0.02,0.45,153,1.2,18.5,0.187,0,0.0,0.0,0.0,broken clouds
1630562400,16.1,100,16.1,17.9,0.0,1016.8,993.9,75,0.0,0.01,0.61,189,1.0,18.3,0.187,0,0.0,0.0,0.0,broken clouds
1630566000,16.9,96,16.2,18.8,0.0,1017.4,994.6,77,0.01,0.08,0.54,202,1.9,18.4,0.187,1,0.0,10.9,62.0,broken clouds
1630569600,18.2,87,16.0,19.6,0.0,1017.5,994.8,62,0.08,0.27,1.3,122,3.6,19.1,0.186,1,3600.0,76.5,210.7,broken clouds
1630573200,20.1,76,15.7,21.3,0.0,1017.5,994.9,48,0.19,0.56,1.53,148,4.7,20.3,0.186,1,3600.0,215.4,404.7,scattered clouds
1630576800,21.7,68,15.5,22.9,0.0,1017.8,995.3,58,0.29,0.84,1.34,207,4.8,21.8,0.185,1,3600.0,300.8,448.4,broken clouds
1630580400,22.9,62,15.2,23.8,0.0,1017.9,995.5,74,0.36,1.06,1.62,248,5.2,23.3,0.183,1,3600.0,323.3,419.9,broken clouds
1630584000,22.6,61,14.8,24.0,0.0,1018.0,995.6,95,0.39,1.06,1.04,253,6.1,24.1,0.184,1,3600.0,387.5,471.1,overcast clouds
1630587600,24.0,56,14.7,25.0,0.0,1017.5,995.2,59,0.37,1.31,1.04,253,4.2,25.2,0.182,1,3600.0,271.1,328.5,broken clouds
1630591200,24.1,57,14.9,24.2,0.0,1017.5,995.2,28,0.42,1.3,3.62,276,7.9,26.0,0.18,1,3600.0,379.4,487.9,scattered clouds
1630594800,23.2,62,15.5,23.5,0.0,1017.4,995.1,4,0.41,1.09,3.93,277,9.7,26.4,0.178,1,3600.0,449.5,658.0,clear sky
1630598400,23.0,62,15.3,22.9,0.0,1017.3,994.9,2,0.34,1.07,3.6,268,9.1,26.4,0.177,1,3600.0,352.7,643.4,clear sky
1630602000,22.3,64,15.1,22.3,0.0,1017.3,994.9,1,0.26,0.97,3.21,266,8.2,26.0,0.176,1,3600.0,261.6,685.3,clear sky
1630605600,20.9,71,15.6,21.4,0.0,1017.4,994.9,0,0.14,0.71,2.82,264,7.3,25.0,0.175,1,3600.0,98.5,504.2,clear sky
1630609200,19.1,83,16.1,20.0,0.0,1017.5,994.8,1,0.04,0.38,2.33,245,6.0,23.7,0.174,1,2277.48,0.5,5.2,clear sky
1630612800,17.6,92,16.3,18.6,0.0,1018.2,995.4,4,0.0,0.16,2.27,229,4.8,22.4,0.174,0,0.0,0.0,0.0,clear sky
