dt,temp,humidity,dew_point,feels_like,rain_1h,sea_level,grnd_level,clouds_all,evapotranspiration,vapour_pressure_deficit (kPa),wind_speed,wind_direction,wind_gusts,soil_temperature,soil_moisture,is_day,sunshine_duration (s),direct_radiation_instant,direct_normal_irradiance_instant,weather_description
1672531200,12.7,95,11.9,11.9,3.7,1019.0,995.8,100,0.0,0.08,2.72,174,10.1,12.5,0.43,0,0.0,0.0,0.0,moderate rain
1672534800,12.6,93,11.5,11.4,5.7,1018.1,994.9,100,0.0,0.11,3.3,166,6.9,12.5,0.43,0,0.0,0.0,0.0,moderate rain
1672538400,12.7,92,11.4,11.8,8.7,1016.8,993.7,100,0.0,0.12,2.65,169,7.7,12.4,0.43,0,0.0,0.0,0.0,heavy intensity rain
1672542000,13.1,91,11.6,11.8,10.2,1016.2,993.1,100,0.0,0.14,3.35,190,9.8,12.4,0.43,0,0.0,0.0,0.0,heavy intensity rain
1672545600,13.7,87,11.6,10.5,2.6,1015.3,992.3,100,0.02,0.21,7.2,180,15.4,12.5,0.429,0,0.0,0.0,0.0,moderate rain
1672549200,13.8,86,11.5,10.4,1.4,1015.0,992.0,100,0.02,0.22,7.32,175,15.6,12.6,0.43,0,0.0,0.0,0.0,light rain
1672552800,13.9,85,11.3,10.5,0.8,1014.8,991.8,100,0.03,0.24,7.2,178,17.1,12.6,0.428,0,0.0,0.0,0.0,light rain
1672556400,13.8,85,11.3,9.8,1.2,1014.7,991.7,100,0.03,0.24,8.43,175,16.9,12.5,0.429,0,0.0,0.0,0.0,light rain
1672560000,13.7,84,11.1,9.8,1.4,1015.1,992.1,100,0.03,0.25,8.21,182,18.9,12.5,0.43,0,0.0,0.0,0.0,light rain
1672563600,13.5,83,10.6,9.7,1.4,1015.0,992.0,100,0.05,0.26,7.7,181,18.2,12.4,0.429,1,0.0,0.0,0.0,light rain
1672567200,13.3,82,10.3,9.0,1.7,1014.3,991.3,100,0.06,0.27,8.4,171,17.4,12.3,0.43,1,0.0,0.0,0.0,light rain
1672570800,13.0,85,10.5,8.6,2.9,1014.3,991.2,100,0.06,0.23,8.81,178,20.0,12.2,0.43,1,0.0,0.0,0.0,moderate rain
1672574400,13.3,92,12.0,10.1,8.4,1013.8,990.8,100,0.04,0.13,7.37,188,19.1,12.2,0.43,1,0.0,0.0,0.0,heavy intensity rain
1672578000,13.2,94,12.3,10.9,6.6,1014.2,991.2,100,0.03,0.09,5.84,232,14.5,12.5,0.43,1,0.0,0.0,0.0,moderate rain
1672581600,12.8,94,11.8,11.0,5.5,1014.4,991.3,100,0.03,0.09,4.64,233,11.2,12.6,0.43,1,0.0,0.0,0.0,moderate rain
1672585200,12.5,95,11.7,11.4,4.4,1014.2,991.1,100,0.02,0.07,3.18,257,9.3,12.5,0.43,1,0.0,0.0,0.0,moderate rain
1672588800,12.1,92,10.9,11.1,2.3,1014.5,991.4,100,0.03,0.11,2.6,293,6.7,12.4,0.43,1,0.0,0.0,0.0,light rain
1672592400,11.9,89,10.1,10.5,2.1,1015.1,991.9,100,0.03,0.15,2.82,293,5.6,12.2,0.43,1,0.0,0.0,0.0,light rain
1672596000,11.3,91,10.0,9.9,2.4,1016.0,992.8,93,0.02,0.12,2.86,306,6.6,11.9,0.43,0,0.0,0.0,0.0,light rain
1672599600,11.1,90,9.4,10.1,1.5,1017.0,993.7,100,0.0,0.14,1.62,292,5.7,11.6,0.43,0,0.0,0.0,0.0,light rain
1672603200,10.9,93,9.8,9.9,0.8,1018.2,994.9,100,0.0,0.09,1.9,252,3.6,11.5,0.428,0,0.0,0.0,0.0,light rain
