país,indicativo,country
África,27,South Africa
Alasca,1907,Alaska
Albânia,355,Albania
Alemanha,49,Germany
Andorra,34738,Andorra
Angola,244,Angola
,1,Antigua and Barbuda
Antilhas Holandesas,599,Netherlands Antilles
Arábia Saudita,966,Saudi Arabia
Argélia,213,Algeria
Argentina,54,Argentina
Arménia,7,Armenia
Aruba,297,Aruba
Austrália,61,Australia
Áustria,43,Austria
Azerbeijão,944,Azerbaijan
Bahamas,1809,Bahamas
Bahrain,973,Bahrain
Bangladesh,880,Bangladesh
,1,Barbados
Bélgica,32,Belgium
Belize,501,Belize
Benin,229,Benin
Bermudas,1809,Bermuda
Bielorussia,375,Belarus
Bolívia,591,Bolivia
Bósnia Herzegovina,387,Bosnia and Herzegovina
Botswana,267,Botswana
Brasil,55,Brazil
Brunei,673,Brunei
Bulgária,359,Bulgaria
Burkina Fasso,226,BURKINA FASSO
Burundi,257,Burundi
Cabo Verde,238,Cabo Verde
Camarões,237,Cameroon
Canadá,1,Canada
Caraíbas,1809,Caraibas
Chile,56,Chile
China,86,China
Chipre,357,Cyprus
Colômbia,57,Colombia
Congo,242,Congo
Coreia do Sul,82,Republic of Korea
Costa do Marfim,225,Costa do Marfim
Costa Rica,506,Costa Rica
Croácia,385,Croatia
Cuba,53,Cuba
Dinamarca,45,Denmark
Djibuti,253,Djibuti
,1,Dominica
Egipto,20,Egypt
Emirades Árabes Unidos,971,United Arab Emirates
Equador,593,Ecuador
,503,El Salvador
Erítrea,291,Eritreous
Espanha,34,Spain
Eslováquia,42,Slovakia
Eslovénia,386,Slovenia
Estónia,372,Estonia
Etiópia,251,Ethiopia
E.U.A.,1,United States
Federação Russa,7,Russian Federation
Féroé,298,Phenomenon
,679,Fiji
Filipinas,63,Philippines
Finlândia,358,Finland
França,33,France
Gabão,241,Gabon
Gâmbia,220,Gambia
Geórgia,7,Georgia
Ghana,233,Ghana
Gibraltar,350,Gibraltar
Grécia,30,Greece
Gronelândia,299,Groinent
Guadalupe,590,Guadalupe
Guam,671,Guam
Guatemala,502,Guatemala
Guiana,592,Guyana
Guiana Francesa,594,French Guiana
Guiné-Bissau,245,Guinea Bissau
Guiné Equatorial,240,Equatorial Guinea
,1,Grenada
Haiti,509,Haiti
Hawai,1808,Hawaii
Holanda,31,Netherlands
Honduras,504,Honduras
Hong-Kong,852,Hong Kong
Hungria,36,Hungary
Índia,91,India
Indonésia,62,Indonesia
Irão,98,Van
Iraque,904,Iraq
Irlanda,353,Ireland
Islândia,354,Iceland
Israel,972,Israel
Itália,39,Italy
Japão,81,Japan
,1,Jamaica
Jordânia,962,Jordan
Jugoslávia,381,Jugoslavia
Kasaquistão,7,Kazakhstan
Kirguízia,996,Kyrgyzstan
,689,Kiribati
Kuwait,965,Kuwait
Lesoto,266,Lesotho
Letónia,371,Latvia
Líbano,961,Lebanon
Libéria,231,Liberia
Líbia,218,Libya
Liechtenstein,4175,Liechtenstein
Lituânia,370,Lithuania
Luxemburgo,352,Luxembourg
Macau,853,Macau
Macedónia,389,Macedonia
Madagascar,261,Madagascar
Malásia,60,Malaysia
Malawi,265,Malawi
,960,Maldives
Mali,223,Mali
Malta,356,Malta
Marrocos,212,Morocco
Martinica,596,Martinic
Maurícias,230,Mauritius
Mauritânia,222,Mauritania
México,52,Mexico
Moçambique,258,Mozambique
Moldova,373,Mold
Mónaco,3393,Monaco
,976,Mongolia
,382,Montenegro
Namíbia,264,Namibia
Nepal,977,Nepal
Nicarágua,505,Nicaragua
Níger,227,Niger
Nigéria,234,Nigeria
Noruega,47,Norway
Nova Caledónia,687,New CaleDonia
Nova Zelândia,64,New Zealand
Oman,968,Oman
Paises Baixos,31,Netherlands
Panamá,507,Panama
Papua – Nova Guiné,675,Papua New Guinea
Paquistão,92,Pakistan
Paraguai,595,Paraguay
Perú,51,Peru
Polinésia Francesa,689,French Polynesian
Polónia,48,Poland
Porto Rico,1809,Puerto Rico
Portugal,351,Portugal
Qatar,974,Qatar
Quénia,254,Kenya
Reino Unido,44,United Kingdom
República Centro Africana,236,Central African Republic
República Checa,42,Czech Republic
República Dominicana,1809,Dominican Republic
Reunião,262,Meeting
Roménia,40,Romania
Ruanda,250,Rwanda
Saipan,670,Saipan
Salvador,503,savior
Samoa Americana,684,American Samoa
S.Christophe – S. Kitts,1809,Saint Kitts and Nevis
S. Croix,1809,S. Croix
Serra Leoa,232,Sierra Leone
S. John,1809,S. John
S. Marino,378,San Marino
S. Pierre et Miquelon,508,S. Pierre et Miquelon
S.Thomas,1809,S.thomas
S.Tomé e Príncipe,239,S.Tomé and Principe
S.Vicente e Grenadine,1809,Saint Vincent and Grenadines
,1,Saint Lucia
Senegal,221,Senegal
Seychelles,248,Seychelles
Singapura,65,Singapore
Síria,963,Syria
Sri Lanka,94,Sri Lanka
Suazilândia,268,Swazilândia
Suécia,46,Sweden
Suiça,41,Switzerland
Suriname,597,Suriname
,381,Serbia
Tailândia,66,Thailand
Taiwan,886,Taiwan
Tadjiquistâo,7,Tadjiquistan
Tanzânia,255,Tanzania
Techade,235,Techade
Togo,228,Togo
